organization_id,organization_name,recovery_lane,query_pack,candidate_url,candidate_domain,discovery_status,validation_reason,validated_website_url
org_sapienza_university_of_rome_italy_unirom_13ec2610,Sapienza University of Rome,own_site_not_ready,,,,pending_wave2,no_published_email_in_current_evidence,http://www.uniroma1.it
org_la_palma_research_centre_la_palma_office_8d4d3eae,La Palma Research Centre (La Palma Office),programme_or_project_site,,,,skipped_existing_evidence_sufficient,wave1_promoted_from_published_contact,
org_universidad_de_huelva_spain_uhu_es_b672c674,Universidad de Huelva,own_site_not_ready,,,,pending_wave2,no_published_email_in_current_evidence,http://www.uhu.es
org_associaci_fons_catal_de_cooperaci_al_des_bb4836cc,Associació Fons Català de Cooperació al Desenvolupament,own_site_not_ready,,,,pending_wave2,no_published_email_in_current_evidence,https://www.fonscatala.org
org_aqualgae_sociedade_limitada_research_and_554b42f4,Aqualgae Sociedade Limitada (Research and Development),programme_or_project_site,,,,skipped_existing_evidence_sufficient,wave1_promoted_from_published_contact,
org_universitat_polit_cnica_de_val_ncia_spai_f5f5951e,Universitat Politècnica de València,own_site_not_ready,,,,skipped_existing_evidence_sufficient,wave1_promoted_from_published_contact,https://irp.webs.upv.es
org_technological_university_of_the_shannon_ee38d0e5,Technological University of the Shannon: Midlands Midwest (Research Development and Innovation ),programme_or_project_site,,,,skipped_existing_evidence_sufficient,wave1_promoted_from_published_contact,
org_south_east_technological_university_riko_8fce285a,South East Technological University (RIKON Research Centre - SETU),programme_or_project_site,,,,skipped_existing_evidence_sufficient,wave1_promoted_from_published_contact,
org_dire_o_regional_de_pol_ticas_mar_timas_d_e07693b6,Direção Regional de Políticas Marítimas (Direção de Serviços da Biodiversidade e Política do Mar),programme_or_project_site,,,,skipped_existing_evidence_sufficient,wave1_promoted_from_published_contact,
org_comunidade_intermunicipal_do_oeste_secre_b99b506b,Comunidade Intermunicipal do Oeste (Secretariado Executivo),programme_or_project_site,,,,skipped_existing_evidence_sufficient,wave1_promoted_from_published_contact,
org_conxemar_sostenibilidad_spain_79114129,conxemar (sostenibilidad),programme_or_project_site,,,,skipped_existing_evidence_sufficient,wave1_promoted_from_published_contact,
org_instituto_para_el_crecimiento_sostenible_3ef40fba,Instituto para el Crecimiento Sostenible de la Empresa (Direction),programme_or_project_site,,,,skipped_existing_evidence_sufficient,wave1_promoted_from_published_contact,
