organization_id,organization_name,website_url,contact_url,fetch_target_url,fetch_status,emails_found_raw,selected_email,email_status,email_source_url,email_source_type,contact_name,contact_role,lead_readiness,enriched_at_utc,notes,website_discovery_status,website_discovery_source,validated_website_url,contact_quality_tier,ready_reason,recovery_lane
org_sapienza_university_of_rome_italy_unirom_13ec2610,Sapienza University of Rome,http://www.uniroma1.it,http://www.uniroma1.it,https://www.uniroma1.it/it/,ok,,,email_not_found_form_only,,,,,not_outreach_ready,2026-06-07T16:20:17Z,page_fetched_form_only | candidate_source=own_contact_url,pending_wave2,wave1_existing_evidence_only,http://www.uniroma1.it,,,own_site_not_ready
org_la_palma_research_centre_la_palma_office_8d4d3eae,La Palma Research Centre (La Palma Office),,https://keep.eu/projects/31295/,https://www.atlanticarea.eu/discover-our-projects/approved-projects/impact4mar,promoted_from_existing_evidence,js@atlanticarea.eu | ma@atlanticarea.eu,js@atlanticarea.eu,email_found,https://www.atlanticarea.eu/discover-our-projects/approved-projects/impact4mar,existing_evidence_promotion,,,ready_for_outreach,2026-06-07T16:20:17Z,promoted_from_existing_evidence | prior_status=email_not_found_manual_review,not_attempted_wave1,existing_evidence_only,,official_programme_proxy_email,programme_site_published_contact,programme_or_project_site
org_universit_degli_studi_di_bari_aldo_moro_598fc36c,Università degli Studi di Bari Aldo Moro,https://www.uniba.it,https://www.uniba.it/it,https://www.uniba.it/it,ok,redazioneweb@uniba.it | universitabari@pec.it | urp@uniba.it,urp@uniba.it,email_found,https://www.uniba.it/it,website_footer,,,ready_for_outreach,2026-06-07T16:20:17Z,accepted_same_domain | candidate_source=own_contact_url | manual_review_candidates=1,baseline_existing,baseline_existing,https://www.uniba.it,direct_partner_email,email_on_official_partner_domain,baseline_ready
org_universidad_de_huelva_spain_uhu_es_b672c674,Universidad de Huelva,http://www.uhu.es,http://www.uhu.es,https://www.uhu.es/,ok,,,email_not_found_form_only,,,,,not_outreach_ready,2026-06-07T16:20:17Z,page_fetched_form_only | candidate_source=own_contact_url,pending_wave2,wave1_existing_evidence_only,http://www.uhu.es,,,own_site_not_ready
org_associaci_fons_catal_de_cooperaci_al_des_bb4836cc,Associació Fons Català de Cooperació al Desenvolupament,https://www.fonscatala.org,https://www.fonscatala.org/en,https://fonscatala.org/,ok,,,email_not_found_no_contact_channel,,,,,not_outreach_ready,2026-06-07T16:20:17Z,page_fetched but no email found,pending_wave2,wave1_existing_evidence_only,https://www.fonscatala.org,,,own_site_not_ready
org_aqualgae_sociedade_limitada_research_and_554b42f4,Aqualgae Sociedade Limitada (Research and Development),,https://keep.eu/projects/31296/,https://www.atlanticarea.eu/discover-our-projects/approved-projects/smacc,promoted_from_existing_evidence,js@atlanticarea.eu | ma@atlanticarea.eu,js@atlanticarea.eu,email_found,https://www.atlanticarea.eu/discover-our-projects/approved-projects/smacc,existing_evidence_promotion,,,ready_for_outreach,2026-06-07T16:20:17Z,promoted_from_existing_evidence | prior_status=email_not_found_manual_review,not_attempted_wave1,existing_evidence_only,,official_programme_proxy_email,programme_site_published_contact,programme_or_project_site
org_universitat_polit_cnica_de_val_ncia_spai_f5f5951e,Universitat Politècnica de València,https://irp.webs.upv.es,https://irp.webs.upv.es/,https://irp.webs.upv.es/,promoted_from_existing_evidence,irp@irp.upv.es,irp@irp.upv.es,email_found,https://irp.webs.upv.es/,existing_evidence_promotion,,,ready_for_outreach,2026-06-07T16:20:17Z,promoted_from_existing_evidence | prior_status=email_not_found_manual_review,not_attempted_wave1,existing_evidence_only,https://irp.webs.upv.es,official_external_published_email,external_email_published_on_official_site,own_site_not_ready
org_fondazione_meno_ets_italy_italy_fondazio_bc8b89dc,Fondazione MeNO ETS – Italy,https://www.fondazionemeno.org,https://www.fondazionemeno.org/,https://www.fondazionemeno.org/,ok,info@fondazionemeno.org,info@fondazionemeno.org,email_found,https://www.fondazionemeno.org/,website_footer,,,ready_for_outreach,2026-06-07T16:20:17Z,accepted_same_domain | candidate_source=own_contact_url,baseline_existing,baseline_existing,https://www.fondazionemeno.org,official_generic_partner_email,generic_email_on_official_site,baseline_ready
org_technological_university_of_the_shannon_ee38d0e5,Technological University of the Shannon: Midlands Midwest (Research Development and Innovation ),,https://keep.eu/projects/31295/,https://www.atlanticarea.eu/discover-our-projects/approved-projects/impact4mar,promoted_from_existing_evidence,js@atlanticarea.eu | ma@atlanticarea.eu,js@atlanticarea.eu,email_found,https://www.atlanticarea.eu/discover-our-projects/approved-projects/impact4mar,existing_evidence_promotion,,,ready_for_outreach,2026-06-07T16:20:17Z,promoted_from_existing_evidence | prior_status=email_not_found_manual_review,not_attempted_wave1,existing_evidence_only,,official_programme_proxy_email,programme_site_published_contact,programme_or_project_site
org_south_east_technological_university_riko_8fce285a,South East Technological University (RIKON Research Centre - SETU),,https://keep.eu/projects/31295/,https://www.atlanticarea.eu/discover-our-projects/approved-projects/sealabhaus,promoted_from_existing_evidence,js@atlanticarea.eu | ma@atlanticarea.eu,js@atlanticarea.eu,email_found,https://www.atlanticarea.eu/discover-our-projects/approved-projects/sealabhaus,existing_evidence_promotion,,,ready_for_outreach,2026-06-07T16:20:17Z,promoted_from_existing_evidence | prior_status=email_not_found_manual_review,not_attempted_wave1,existing_evidence_only,,official_programme_proxy_email,programme_site_published_contact,programme_or_project_site
