organization_id,organization_name,recovery_lane,recovery_stage,target_url,target_status,emails_found_raw,selected_email,contact_quality_tier,ready_reason,notes
org_tunisia_cbs_rnrt_tn_2b553b27,مركز البيوتكنولوجيا بصفاقس,own_site,homepage,https://www.cbs.rnrt.tn/,http_error_404,,,,,HTTP Error 404: Not Found
org_tunisia_cbs_rnrt_tn_2b553b27,مركز البيوتكنولوجيا بصفاقس,own_site,baseline_contact_url,http://www.cbs.rnrt.tn,http_error_404,,,,,HTTP Error 404: Not Found
org_universidad_de_huelva_spain_uhu_es_b672c674,Universidad de Huelva,own_site,homepage,https://www.uhu.es/,ok,,,,,
org_universidad_de_huelva_spain_uhu_es_b672c674,Universidad de Huelva,own_site,baseline_contact_url,https://www.uhu.es/,ok,,,,,
org_universidad_de_huelva_spain_uhu_es_b672c674,Universidad de Huelva,own_site,internal_contact_page,https://www.uhu.es/aviso-legal,ok,sec.general@uhu.es|protecciondedatos@uhu.es,,,,
org_universidad_de_huelva_spain_uhu_es_b672c674,Universidad de Huelva,own_site,internal_contact_page,https://www.uhu.es/aviso-legal#main-content,ok,sec.general@uhu.es|protecciondedatos@uhu.es,,,,
org_lebanon_biatcenter_org_52dd71e2,جمعية تطوير الأعمال في طرابلس,own_site,homepage,https://www.biatcenter.org/,ok,,,,,
org_lebanon_biatcenter_org_52dd71e2,جمعية تطوير الأعمال في طرابلس,own_site,baseline_contact_url,https://www.biatcenter.org/,ok,,,,,
org_lebanon_biatcenter_org_52dd71e2,جمعية تطوير الأعمال في طرابلس,own_site,internal_contact_page,https://www.biatcenter.org/contact-biat/,ok,,,,,
org_greece_uoa_gr_910a5e49,Εθνικό και Καποδιστριακό Πανεπιστήμιο Αθηνών,own_site,homepage,https://www.uoa.gr/,ok,,,,,
org_greece_uoa_gr_910a5e49,Εθνικό και Καποδιστριακό Πανεπιστήμιο Αθηνών,own_site,baseline_contact_url,https://www.uoa.gr/,ok,,,,,
org_jordan_narc_gov_jo_9d90b862,المركز الوطني للبحوث الزراعية,own_site,homepage,https://www.narc.gov.jo/,ok,,,,,
org_jordan_narc_gov_jo_9d90b862,المركز الوطني للبحوث الزراعية,own_site,baseline_contact_url,https://www.narc.gov.jo/,ok,,,,,
org_associaci_fons_catal_de_cooperaci_al_des_bb4836cc,Associació Fons Català de Cooperació al Desenvolupament,own_site,homepage,https://fonscatala.org/,ok,fonscatala@fonscatala.org,,,,
org_associaci_fons_catal_de_cooperaci_al_des_bb4836cc,Associació Fons Català de Cooperació al Desenvolupament,own_site,baseline_contact_url,https://fonscatala.org/en/,ok,fonscatala@fonscatala.org,,,,
org_associaci_fons_catal_de_cooperaci_al_des_bb4836cc,Associació Fons Català de Cooperació al Desenvolupament,own_site,internal_contact_page,https://fonscatala.org/avis-legal/,ok,fonscatala@fonscatala.org,,,,
org_associaci_fons_catal_de_cooperaci_al_des_bb4836cc,Associació Fons Català de Cooperació al Desenvolupament,own_site,internal_contact_page,https://fonscatala.org/en/legal-information/,ok,fonscatala@fonscatala.org,,,,
org_tunisia_inrgref_iresa_tn_3870dfac,المعھد الوطني للبحوث في الھندسة الریفیة و المیاه والغابات,own_site,homepage,https://www.inrgref.iresa.tn/,error,,,,,URLError: <urlopen error [Errno -2] Name or service not known>
org_tunisia_inrgref_iresa_tn_3870dfac,المعھد الوطني للبحوث في الھندسة الریفیة و المیاه والغابات,own_site,baseline_contact_url,http://www.inrgref.iresa.tn,error,,,,,URLError: <urlopen error [Errno -2] Name or service not known>
org_lebanon_ldn_lb_org_38481d7b,الشبكة اللبنانية للتنمية,own_site,homepage,https://www.ldn-lb.org/,ok,,,,,
org_lebanon_ldn_lb_org_38481d7b,الشبكة اللبنانية للتنمية,own_site,baseline_contact_url,https://www.ldn-lb.org/,ok,,,,,
org_lebanon_ldn_lb_org_38481d7b,الشبكة اللبنانية للتنمية,own_site,internal_contact_page,https://www.ldn-lb.org/contact,ok,,,,,
org_lebanon_ldn_lb_org_38481d7b,الشبكة اللبنانية للتنمية,own_site,internal_contact_page,https://www.ldn-lb.org/category/team,ok,,,,,
org_lebanon_ldn_lb_org_38481d7b,الشبكة اللبنانية للتنمية,own_site,internal_contact_page,https://www.ldn-lb.org/directory,ok,,,,,
org_lebanon_ldn_lb_org_38481d7b,الشبكة اللبنانية للتنمية,own_site,internal_contact_page,https://www.ldn-lb.org/directory/100,ok,,,,,
org_universit_degli_studi_di_cagliari_italy_f28a689a,Università degli Studi di Cagliari,own_site,homepage,https://www.unica.it/it,ok,,,,,
org_universit_degli_studi_di_cagliari_italy_f28a689a,Università degli Studi di Cagliari,own_site,baseline_contact_url,https://www.unica.it/it,ok,,,,,
org_universit_degli_studi_di_cagliari_italy_f28a689a,Università degli Studi di Cagliari,own_site,internal_contact_page,https://www.unica.it/it/servizi/contatti-informazioni-e-pagamenti,ok,,,,,
org_universit_degli_studi_di_cagliari_italy_f28a689a,Università degli Studi di Cagliari,own_site,internal_contact_page,https://www.unica.it/it/servizi/contatti-informazioni-e-pagamenti/pagamenti-pagopa,ok,,,,,
org_universit_degli_studi_di_cagliari_italy_f28a689a,Università degli Studi di Cagliari,own_site,internal_contact_page,https://www.unica.it/it/ateneo/chi-siamo,ok,,,,,
org_universit_degli_studi_di_cagliari_italy_f28a689a,Università degli Studi di Cagliari,own_site,internal_contact_page,https://www.unica.it/it/servizi/contatti-informazioni-e-pagamenti#editCookieSettings,ok,,,,,
org_universit_degli_studi_di_cagliari_italy_f28a689a,Università degli Studi di Cagliari,own_site,internal_contact_page,https://www.unica.it/it/servizi/contatti-informazioni-e-pagamenti/amministrazione-trasparente,ok,,,,,
org_universit_degli_studi_di_cagliari_italy_f28a689a,Università degli Studi di Cagliari,own_site,internal_contact_page,https://www.unica.it/it/ateneo/chi-siamo/identita-visiva,ok,,,,,
org_universit_degli_studi_di_cagliari_italy_f28a689a,Università degli Studi di Cagliari,own_site,internal_contact_page,https://www.unica.it/it/servizi/contatti-informazioni-e-pagamenti#main-content,ok,,,,,
org_universit_degli_studi_di_cagliari_italy_f28a689a,Università degli Studi di Cagliari,own_site,internal_contact_page,https://www.unica.it/it/servizi/contatti-informazioni-e-pagamenti/amministrazione-trasparente#editCookieSettings,ok,,,,,
org_universit_degli_studi_di_cagliari_italy_f28a689a,Università degli Studi di Cagliari,own_site,internal_contact_page,https://www.unica.it/it/ateneo/chi-siamo/ateneo-cifre,ok,,,,,
org_universit_degli_studi_di_cagliari_italy_f28a689a,Università degli Studi di Cagliari,own_site,internal_contact_page,https://www.unica.it/it/servizi/contatti-informazioni-e-pagamenti/amministrazione-trasparente#main-content,ok,,,,,
org_centre_tunisien_pour_l_entrepreneuriat_s_1b06eb1d,Centre Tunisien pour l'Entrepreneuriat Social,own_site,homepage,https://tcse.network/,ok,,,,,
org_centre_tunisien_pour_l_entrepreneuriat_s_1b06eb1d,Centre Tunisien pour l'Entrepreneuriat Social,own_site,internal_contact_page,https://tcse.network/contact-us/,ok,contact@tcse.network,,,,
org_centre_tunisien_pour_l_entrepreneuriat_s_1b06eb1d,Centre Tunisien pour l'Entrepreneuriat Social,own_site,internal_contact_page,https://tcse.network/team-tcse/,ok,hr@tcse.network,,,,
org_centre_tunisien_pour_l_entrepreneuriat_s_1b06eb1d,Centre Tunisien pour l'Entrepreneuriat Social,own_site,internal_contact_page,https://tcse.network/about/,ok,,,,,
org_greece_uom_gr_e5ec92e8,Πανεπιστήμιο Μακεδονίας,own_site,homepage,https://www.uom.gr/,ok,,,,,
org_greece_uom_gr_e5ec92e8,Πανεπιστήμιο Μακεδονίας,own_site,baseline_contact_url,https://www.uom.gr/,ok,,,,,
org_greece_uom_gr_e5ec92e8,Πανεπιστήμιο Μακεδονίας,own_site,internal_contact_page,https://www.uom.gr/about/istoria-toy-panepisthmioy-makedonias,ok,,,,,
org_greece_uom_gr_e5ec92e8,Πανεπιστήμιο Μακεδονίας,own_site,internal_contact_page,https://www.uom.gr/about/aithoyses-kai-amfitheatra-katopseis,ok,,,,,
org_greece_uom_gr_e5ec92e8,Πανεπιστήμιο Μακεδονίας,own_site,internal_contact_page,https://www.uom.gr/about/diethneis-symfonies,ok,,,,,
org_greece_uom_gr_e5ec92e8,Πανεπιστήμιο Μακεδονίας,own_site,internal_contact_page,https://www.uom.gr/about/diktyakes-thlematikes-yphresies,ok,,,,,
org_palestine_jericho_plo_ps_6d64cdb5,محافظة اريحا والأغوار,own_site,homepage,https://www.jericho.plo.ps/,ok,,,,,
org_palestine_jericho_plo_ps_6d64cdb5,محافظة اريحا والأغوار,own_site,baseline_contact_url,https://www.jericho.plo.ps:443/,ok,,,,,
org_kizanlikli_e_i_ti_m_dani_manlik_ko_luk_t_85f2b3a2,KIZANLIKLI EĞİTİM DANIŞMANLIK KOÇLUK TURİZM LTD. ŞTİ,own_site,homepage,https://kizanlikliacademy.com/,ok,,,,,
org_kizanlikli_e_i_ti_m_dani_manlik_ko_luk_t_85f2b3a2,KIZANLIKLI EĞİTİM DANIŞMANLIK KOÇLUK TURİZM LTD. ŞTİ,own_site,baseline_contact_url,https://kizanlikliacademy.com/,ok,,,,,
org_fondazione_centro_euro_mediterraneo_sui_76d3771a,Fondazione Centro Euro-Mediterraneo sui Cambiamenti Climatici,own_site,homepage,https://www.cmcc.it/,http_error_403,,,,,HTTP Error 403: Forbidden
org_fondazione_centro_euro_mediterraneo_sui_76d3771a,Fondazione Centro Euro-Mediterraneo sui Cambiamenti Climatici,own_site,baseline_contact_url,http://www.cmcc.it,http_error_403,,,,,HTTP Error 403: Forbidden
org_universit_degli_studi_di_firenze_italy_u_a0bfa05d,Università degli Studi di Firenze,own_site,homepage,https://www.unifi.it/,http_error_403,,,,,HTTP Error 403: Forbidden
org_universit_degli_studi_di_firenze_italy_u_a0bfa05d,Università degli Studi di Firenze,own_site,baseline_contact_url,https://www.unifi.it/changelang-eng.html,http_error_403,,,,,HTTP Error 403: Forbidden
org_sapienza_university_of_rome_italy_unirom_13ec2610,Sapienza University of Rome,own_site,homepage,https://www.uniroma1.it/it/,ok,,,,,
org_sapienza_university_of_rome_italy_unirom_13ec2610,Sapienza University of Rome,own_site,baseline_contact_url,https://www.uniroma1.it/it/,ok,,,,,
org_sapienza_university_of_rome_italy_unirom_13ec2610,Sapienza University of Rome,own_site,internal_contact_page,https://www.uniroma1.it/it/pagina-strutturale/contatti,ok,,,,,
org_sapienza_university_of_rome_italy_unirom_13ec2610,Sapienza University of Rome,own_site,internal_contact_page,https://www.uniroma1.it/it/pagina/chi-siamo,ok,,,,,
org_sapienza_university_of_rome_italy_unirom_13ec2610,Sapienza University of Rome,own_site,internal_contact_page,https://www.uniroma1.it/it/pagina/prorettori-e-delegati#area-ricerca,ok,,,,,
org_sapienza_university_of_rome_italy_unirom_13ec2610,Sapienza University of Rome,own_site,internal_contact_page,https://www.uniroma1.it/en/pagina-strutturale/contact-us,ok,,,,,
org_sapienza_university_of_rome_italy_unirom_13ec2610,Sapienza University of Rome,own_site,internal_contact_page,https://www.uniroma1.it/en/pagina/about-us,ok,,,,,
