source,source_url,retrieved_at,keep_numeric_id,project_id,project_acronym,project_name,programme,programming_period,status,start_date,end_date,lead_partner_name,lead_partner_country,partner_count,themes,project_summary_excerpt,outputs_excerpt
keep.eu,https://keep.eu/projects/31297/,2026-05-31T20:49:13.796Z,31297,EAPA_0146/2024,Smart4Sea,Boosting the environmental traceability of the Atlantic seafood sector: sea to fork transparency and consumer engagement,2021 - 2027 Interreg VI-B Atlantic Area,2021-2027,ongoing,2025-09-01,2028-02-29,Universidad de Cantabria (Ingenierías Química y Biomolecular),Spain,14,"ICT and digital society | Governance, partnership | Agriculture and fisheries and forestry","SMART4SEA introduces an innovative environmental traceability system to enhance transparency and consumer trust in the Atlantic seafood sector. This initiative addresses major issues such as seafood fraud, ecological damage, marine debris, and resource inefficiency.
By integrati...",
keep.eu,https://keep.eu/projects/31296/,2026-05-31T20:49:13.796Z,31296,EAPA_0145/2024,SMACC+,Sustainable Microalgae and Cyanobacteria-Based Bioactive Compounds for Cosmeceuticals and Nutraceuticals,2021 - 2027 Interreg VI-B Atlantic Area,2021-2027,ongoing,2025-10-01,2028-03-31,UNIVERSIDADE DE VIGO (CINBIO),Spain,14,ICT and digital society | SME and entrepreneurship | Knowledge and technology transfer,"A pioneering initiative set to transform the cosmeceutical and nutraceutical industries by utilizing bioactives and biopolymers from microalgae. This project introduces innovative, low-impact methods to produce high-value ingredients, replacing synthetic additives while reducing...",
keep.eu,https://keep.eu/projects/31295/,2026-05-31T20:49:13.796Z,31295,EAPA_0143/2024,Impact4Mar,Social Ecological Impact Assessment for the Maritime Sector in the Atlantic Area,2021 - 2027 Interreg VI-B Atlantic Area,2021-2027,ongoing,2025-11-03,2028-04-28,Technological University of the Shannon: Midlands Midwest (Research Development and Innovation ),Ireland,14,Innovation capacity and awareness-raising | SME and entrepreneurship,"Impact4Mar aims to accelerate the transition of SMEs in the maritime sector of the Atlantic area by facilitating an innovative access to tools and methodologies for assessing Impact, Risks and Opportunities (IRO) in Corporate Social Responsibility (CSR) dimensions.
Through trans...",
keep.eu,https://keep.eu/projects/31294/,2026-05-31T20:49:13.796Z,31294,EAPA_0138/2024,BIOCHAINS Atlantic,Optimizing the Algal Biomass Value Chains for Sustainable Economic Growth in the Atlantic Area,2021 - 2027 Interreg VI-B Atlantic Area,2021-2027,ongoing,2025-10-01,2028-03-31,ASOCIACIÓN BIOGA – CLUSTER TECNOLÓXICO EMPRESARIAL DE CIENCIAS DA VIDA (Internationalisation),Spain,19,Coastal management and maritime issues | Climate change and biodiversity | Knowledge and technology transfer,"The project focuses on achieving an efficient and sustainable utilization of micro and macroalgae in the Atlantic Area by organizing and optimizing the entire algal biomass value chains.
It involves stakeholders mapping and cooperation, challenges analysis, models development po...",
keep.eu,https://keep.eu/projects/31293/,2026-05-31T20:49:13.796Z,31293,EAPA_0133/2024,AGREE,Routes of the Great Atlantic Explorations,2021 - 2027 Interreg VI-B Atlantic Area,2021-2027,ongoing,2025-10-01,2028-03-31,Diputación Provincial de Huelva (Servicio de Desarrollo Local y Fondos Europeos),Spain,11,Innovation capacity and awareness-raising | Coastal management and maritime issues,"Setting up the Atlantic network for the valorization of the great nautical expeditions is the overall project objective. This is totally innovative to date. This objective represents the transnational challenge jointly tackled by the partnership.
Added value brought by the figur...",
keep.eu,https://keep.eu/projects/31292/,2026-05-31T20:49:13.796Z,31292,EAPA_0130/2024,REVALGAE,Restoration of Damaged Ecosystems and Valorisation of Invasive Algae and Salt-Tolerant Plants,2021 - 2027 Interreg VI-B Atlantic Area,2021-2027,ongoing,2026-01-01,2028-06-30,"Universidade de Santiago de Compostela (Faculty of Veterinary Science - Department of Pharmacology, Pharmacy and Pharmaceutical Technology )",Spain,9,Coastal management and maritime issues | Climate change and biodiversity,"REVALGAE challenges the multilevel problems caused by the spread of invasive algae and salt-tolerant plants in the Atlantic Area. To transform this problem into an opportunity, the partnership will develop harvesting procedures and biomass valorisation routes that preserve biodi...",
keep.eu,https://keep.eu/projects/31291/,2026-05-31T20:49:13.796Z,31291,EAPA_0123/2024,SED'UP,Re-use of marine sediments and circular economy,2021 - 2027 Interreg VI-B Atlantic Area,2021-2027,ongoing,2025-10-01,2028-03-31,Université de Bretagne Occidentale (Institut Universitaire de Technologie de Brest-Morlaix),France,11,Innovation capacity and awareness-raising | Coastal management and maritime issues | Waste and pollution,"The project aims to foster innovative approaches for the beneficial reuse of marine sediments, supporting circular economy strategies in the Atlantic Area. The overall objective is to boost synergies to pave the way for re-use alternatives for local destinations, and demonstrate...",
keep.eu,https://keep.eu/projects/31290/,2026-05-31T20:49:13.796Z,31290,EAPA_0122/2024,TRAP,Transforming Rivers by Reducing Aquatic Plastic Pollution,2021 - 2027 Interreg VI-B Atlantic Area,2021-2027,ongoing,2025-10-01,2028-09-30,"Instituto Superior Técnico (Departamento de Engenharia Civil, Arquitetura e Georrecursos)",Portugal,9,"Governance, partnership | Waterways, lakes and rivers | Waste and pollution","TRAP addresses the critical transnational challenge of aquatic plastic pollution through innovative, eco-friendly solutions to reduce plastic litter reaching the Atlantic Ocean. The main goal is to produce guidelines to design hotspots to trap and retain plastics in rivers and e...",
keep.eu,https://keep.eu/projects/23655/,2026-05-31T20:49:13.796Z,23655,23655,AEDENET,INSTITUTIONAL COOPERATION TO ENHANCE THE EFFECTIVENESS AND EFFICIENCY OF PUBLIC HEALTH POLICY LINKED TO THE INTRODUCTION OF TROPICAL DISEASES IN MACARONESIA,2014 - 2020 INTERREG V-A Spain - Portugal (Madeira - Açores - Canarias (MAC)),2014-2020,closed,2019-11-01,2022-07-31,Dirección General de Salúd Pública del Servicio,Spain,1,Health and social services,"AEDENET is a project of collaboration and cooperation between administrations and public health support institutes of the Canary Islands and Cape Verde with the aim of improving the effectiveness and results of this public health policy vis-à-vis its citizens. For this, joint co...",
keep.eu,https://keep.eu/projects/23654/,2026-05-31T20:49:13.796Z,23654,23654,DYNAMIC-EGOV,ICT GOVERNANCE,2014 - 2020 INTERREG V-A Spain - Portugal (Madeira - Açores - Canarias (MAC)),2014-2020,closed,2019-11-01,2022-10-31,"Agencia Canaria de Investigación, Innovación y Sociedad",Spain,1,ICT and digital society | Institutional cooperation and cooperation networks,"The DYNAMIC-EGOV project aims to promote the use of ICT, related to e-government in the governments of Macaronesia, improving public services, productivity and efficiency of public personnel, as well as information and formalities and services with citizens. To achieve this obje...",
keep.eu,https://keep.eu/projects/23653/,2026-05-31T20:49:13.796Z,23653,23653,RIGPAP-ACV,GREEN CAPE 2020,2014 - 2020 INTERREG V-A Spain - Portugal (Madeira - Açores - Canarias (MAC)),2014-2020,closed,2019-11-01,2022-10-31,Direção Regional de Organização e Administração,Portugal,1,Institutional cooperation and cooperation networks,"RIGPAP-ACV is a project of modernisation and administrative simplification, focused on the intervention in the “business processes” of the Public Administration of the Azores and Cape Verde, enhancing the creation of a platform for shared use and the restructuring of services an...",
keep.eu,https://keep.eu/projects/23652/,2026-05-31T20:49:13.796Z,23652,23652,CIFCAM,MEDICAL SCIENCE FRUGAL INNOVATION CENTER OF MACARONESIA,2014 - 2020 INTERREG V-A Spain - Portugal (Madeira - Açores - Canarias (MAC)),2014-2020,closed,2019-09-01,2021-09-30,Servicio Canario de la Salud,Spain,1,Health and social services,"The CIFCAM Project aims to democratise access to advanced medical technology by introducing frugal innovation processes, a concept that includes those production processes that allow the obtaining of products of equal utility to other pre-existing ones, but with a complexity and...",
keep.eu,https://keep.eu/projects/23651/,2026-05-31T20:49:13.796Z,23651,23651,LAZOS,STRENGTHENING THE LINKS BETWEEN MACARONESICAS CITIES AND THEIR NEIGHBOURHOOD IN TERMS OF GOOD GOVERNANCE AND DEVELOPMENT,2014 - 2020 INTERREG V-A Spain - Portugal (Madeira - Açores - Canarias (MAC)),2014-2020,closed,2020-01-01,2022-12-31,AYUNTAMIENTO DE LAS PALMAS DE GRAN,Spain,1,"Governance, partnership","The LAZOS project seeks to contribute to the development of the capital cities of the countries of Cape Verde, Mauritania, Senegal and Las Palmas de Gran Canaria and to promote more efficient and effective models of municipal organisation and management, through a participatory...",
keep.eu,https://keep.eu/projects/33271/,2026-05-31T20:49:13.796Z,33271,00032,HERACLES~A_T_1.1_0235,"Healthcare Enterprises and Research Alliance for Collaboration, Learning, and Exploitation of AI-driven business Solutions",2021 - 2027 Interreg VI-B NEXT Mediterranean Sea Basin (NEXT MED),2021-2027,ongoing,2025-10-31,2028-10-30,Università degli Studi di Bari Aldo Moro,Italy,7,Health and social services | ICT and digital society | SME and entrepreneurship,"PROJECT TYPE: 1 - Thematic projects
~
MAIN INTERVENTION FIELD:

028. Technology transfer and cooperation between enterprises, research centres and higher education sector
~
SUMMARY: The HERACLES Project aims to establish and strengthen a multi-actor research network between comp...","(1.1) 1.1 - Technical Manual on reporting and financial procedures(EN)

(1.2) 1.2 - Progress reports(EN)

(1.3) 1.3 - Project meetings(EN)

(1.4) 1.4 - Monitoring and Quality Plan(EN)

(2.1) Communication Plan and Strat..."
keep.eu,https://keep.eu/projects/33270/,2026-05-31T20:49:13.796Z,33270,00036,MedRESOURCE~A_T_2.3_0368,Mediterranean initiative to REgenerate wastewater Sludges for Optimal Use towaRd a Circular Economy,2021 - 2027 Interreg VI-B NEXT Mediterranean Sea Basin (NEXT MED),2021-2027,ongoing,2025-10-23,2028-10-22,مهندسي الصرف الصحي الفلسطينية - Palestinian Wastewater Engineers Group (PWEG),Palestine,6,Water management | Sustainable management of natural resources | Waste and pollution,"PROJECT TYPE: 1 - Thematic projects
~
MAIN INTERVENTION FIELD:

066. Waste water collection and treatment compliant with energy efficiency criteria
~
SUMMARY: MedRESOURCE tackles the pressing transnational challenges of water scarcity, land degradation, and waste management in t...","(1.1) Technical Manual on reporting and financial procedures(EN)

(1.2) Project Final Report(EN)

(1.3) Interim Evaluation Report(EN)

(1.4) Final Evaluation Report(EN)

(2.1) Communication Plan(EN)

(2.2) Communication..."
