source,source_url,retrieved_at,keep_numeric_id,project_id,project_acronym,project_name,programme,programming_period,status,start_date,end_date,lead_partner_name,lead_partner_country,partner_count,themes,project_summary_excerpt,outputs_excerpt
keep.eu,https://keep.eu/projects/31297/,2026-06-01T04:30:59.246Z,31297,EAPA_0146/2024,Smart4Sea,Boosting the environmental traceability of the Atlantic seafood sector: sea to fork transparency and consumer engagement,2021 - 2027 Interreg VI-B Atlantic Area,2021-2027,ongoing,2025-09-01,2028-02-29,Universidad de Cantabria (Ingenierías Química y Biomolecular),Spain,14,"ICT and digital society | Governance, partnership | Agriculture and fisheries and forestry","SMART4SEA introduces an innovative environmental traceability system to enhance transparency and consumer trust in the Atlantic seafood sector. This initiative addresses major issues such as seafood fraud, ecological damage, marine debris, and resource inefficiency.
By integrati...",
keep.eu,https://keep.eu/projects/31296/,2026-06-01T04:30:59.246Z,31296,EAPA_0145/2024,SMACC+,Sustainable Microalgae and Cyanobacteria-Based Bioactive Compounds for Cosmeceuticals and Nutraceuticals,2021 - 2027 Interreg VI-B Atlantic Area,2021-2027,ongoing,2025-10-01,2028-03-31,UNIVERSIDADE DE VIGO (CINBIO),Spain,14,ICT and digital society | SME and entrepreneurship | Knowledge and technology transfer,"A pioneering initiative set to transform the cosmeceutical and nutraceutical industries by utilizing bioactives and biopolymers from microalgae. This project introduces innovative, low-impact methods to produce high-value ingredients, replacing synthetic additives while reducing...",
keep.eu,https://keep.eu/projects/31295/,2026-06-01T04:30:59.246Z,31295,EAPA_0143/2024,Impact4Mar,Social Ecological Impact Assessment for the Maritime Sector in the Atlantic Area,2021 - 2027 Interreg VI-B Atlantic Area,2021-2027,ongoing,2025-11-03,2028-04-28,Technological University of the Shannon: Midlands Midwest (Research Development and Innovation ),Ireland,14,Innovation capacity and awareness-raising | SME and entrepreneurship,"Impact4Mar aims to accelerate the transition of SMEs in the maritime sector of the Atlantic area by facilitating an innovative access to tools and methodologies for assessing Impact, Risks and Opportunities (IRO) in Corporate Social Responsibility (CSR) dimensions.
Through trans...",
keep.eu,https://keep.eu/projects/31294/,2026-06-01T04:30:59.246Z,31294,EAPA_0138/2024,BIOCHAINS Atlantic,Optimizing the Algal Biomass Value Chains for Sustainable Economic Growth in the Atlantic Area,2021 - 2027 Interreg VI-B Atlantic Area,2021-2027,ongoing,2025-10-01,2028-03-31,ASOCIACIÓN BIOGA – CLUSTER TECNOLÓXICO EMPRESARIAL DE CIENCIAS DA VIDA (Internationalisation),Spain,19,Coastal management and maritime issues | Climate change and biodiversity | Knowledge and technology transfer,"The project focuses on achieving an efficient and sustainable utilization of micro and macroalgae in the Atlantic Area by organizing and optimizing the entire algal biomass value chains.
It involves stakeholders mapping and cooperation, challenges analysis, models development po...",
keep.eu,https://keep.eu/projects/31293/,2026-06-01T04:30:59.246Z,31293,EAPA_0133/2024,AGREE,Routes of the Great Atlantic Explorations,2021 - 2027 Interreg VI-B Atlantic Area,2021-2027,ongoing,2025-10-01,2028-03-31,Diputación Provincial de Huelva (Servicio de Desarrollo Local y Fondos Europeos),Spain,11,Innovation capacity and awareness-raising | Coastal management and maritime issues,"Setting up the Atlantic network for the valorization of the great nautical expeditions is the overall project objective. This is totally innovative to date. This objective represents the transnational challenge jointly tackled by the partnership.
Added value brought by the figur...",
keep.eu,https://keep.eu/projects/31292/,2026-06-01T04:30:59.246Z,31292,EAPA_0130/2024,REVALGAE,Restoration of Damaged Ecosystems and Valorisation of Invasive Algae and Salt-Tolerant Plants,2021 - 2027 Interreg VI-B Atlantic Area,2021-2027,ongoing,2026-01-01,2028-06-30,"Universidade de Santiago de Compostela (Faculty of Veterinary Science - Department of Pharmacology, Pharmacy and Pharmaceutical Technology )",Spain,9,Coastal management and maritime issues | Climate change and biodiversity,"REVALGAE challenges the multilevel problems caused by the spread of invasive algae and salt-tolerant plants in the Atlantic Area. To transform this problem into an opportunity, the partnership will develop harvesting procedures and biomass valorisation routes that preserve biodi...",
keep.eu,https://keep.eu/projects/31291/,2026-06-01T04:30:59.246Z,31291,EAPA_0123/2024,SED'UP,Re-use of marine sediments and circular economy,2021 - 2027 Interreg VI-B Atlantic Area,2021-2027,ongoing,2025-10-01,2028-03-31,Université de Bretagne Occidentale (Institut Universitaire de Technologie de Brest-Morlaix),France,11,Innovation capacity and awareness-raising | Coastal management and maritime issues | Waste and pollution,"The project aims to foster innovative approaches for the beneficial reuse of marine sediments, supporting circular economy strategies in the Atlantic Area. The overall objective is to boost synergies to pave the way for re-use alternatives for local destinations, and demonstrate...",
keep.eu,https://keep.eu/projects/31290/,2026-06-01T04:30:59.246Z,31290,EAPA_0122/2024,TRAP,Transforming Rivers by Reducing Aquatic Plastic Pollution,2021 - 2027 Interreg VI-B Atlantic Area,2021-2027,ongoing,2025-10-01,2028-09-30,"Instituto Superior Técnico (Departamento de Engenharia Civil, Arquitetura e Georrecursos)",Portugal,9,"Governance, partnership | Waterways, lakes and rivers | Waste and pollution","TRAP addresses the critical transnational challenge of aquatic plastic pollution through innovative, eco-friendly solutions to reduce plastic litter reaching the Atlantic Ocean. The main goal is to produce guidelines to design hotspots to trap and retain plastics in rivers and e...",
keep.eu,https://keep.eu/projects/31289/,2026-06-01T04:30:59.246Z,31289,EAPA_0120/2024,RIVERS-REST,RIVERS RESToration to reduce erosion and the transport of sediments & pollutants to the ATLANTIC Ocean,2021 - 2027 Interreg VI-B Atlantic Area,2021-2027,ongoing,2025-09-01,2028-02-29,Agencia de Régimen Especial del Ciclo Integral de las Aguas del Retortillo (Planning),Spain,11,Tourism | Waste and pollution | Climate change and biodiversity,"RIVERS-REST responds to the urgent need to reduce the pollution that rivers carry into the Atlantic Ocean, with serious effects on the environment, the functionality and sustainability of the water system, and many sectors of the Blue Economy: from rivers' navigability to the re...",
keep.eu,https://keep.eu/projects/31288/,2026-06-01T04:30:59.246Z,31288,EAPA_0116/2024,BEACon,Business Excellence through Atlantic Cooperation,2021 - 2027 Interreg VI-B Atlantic Area,2021-2027,ongoing,2025-10-01,2028-03-30,Munster Technological University (Hincks Centre For Entrepreneurship Excellence),Ireland,5,ICT and digital society | Education and training | SME and entrepreneurship,"BEACon – Strategic Support for Atlantic Innovation and Business.
The BEACon Project will transform business support in the Atlantic Area, enhancing success rates through an evidence-based toolkit for business advisors. Using insights from Randomised Controlled Trials, BEACon ens...",
